student_id,grade_level,ses_band,baseline_score,baseline_engagement,treatment,week,post_period,weekly_active_days,assignments_completed,engagement_index,assessment_score
1,6,mid,72.78647068430777,3.1506697189963333,False,1,False,3,2,2.5,69.94691674655525
1,6,mid,72.78647068430777,3.1506697189963333,False,3,False,2,2,2.0,71.18209250152792
1,6,mid,72.78647068430777,3.1506697189963333,False,4,False,4,5,4.5,70.6957064001409
1,6,mid,72.78647068430777,3.1506697189963333,False,5,False,4,1,2.5,72.49402349465105
1,6,mid,72.78647068430777,3.1506697189963333,False,6,False,3,2,2.5,72.59349943763208
1,6,mid,72.78647068430777,3.1506697189963333,False,7,True,1,0,0.5,71.06638988983796
1,6,mid,72.78647068430777,3.1506697189963333,False,8,True,5,3,4.0,73.02483438338001
1,6,mid,72.78647068430777,3.1506697189963333,False,9,True,4,4,4.0,74.937396365482
1,6,mid,72.78647068430777,3.1506697189963333,False,10,True,2,3,2.5,71.90059172818192
1,6,mid,72.78647068430777,3.1506697189963333,False,11,True,2,1,1.5,73.60998415975311
1,6,mid,72.78647068430777,3.1506697189963333,False,12,True,1,0,0.5,79.80653249345292
2,11,mid,57.88496108892107,4.532691698947744,False,1,False,7,5,6.0,54.45181638618677
2,11,mid,57.88496108892107,4.532691698947744,False,2,False,3,3,3.0,54.44316906378104
2,11,mid,57.88496108892107,4.532691698947744,False,3,False,2,1,1.5,60.868558247763545
2,11,mid,57.88496108892107,4.532691698947744,False,4,False,3,2,2.5,57.48961430635809
2,11,mid,57.88496108892107,4.532691698947744,False,5,False,2,4,3.0,55.976818683313184
2,11,mid,57.88496108892107,4.532691698947744,False,6,False,2,0,1.0,59.52363761666136
2,11,mid,57.88496108892107,4.532691698947744,False,7,True,3,2,2.5,60.367444524799524
2,11,mid,57.88496108892107,4.532691698947744,False,8,True,3,3,3.0,54.76247879785605
2,11,mid,57.88496108892107,4.532691698947744,False,9,True,0,0,0.0,57.47257525809342
2,11,mid,57.88496108892107,4.532691698947744,False,10,True,3,3,3.0,61.72571238084422
2,11,mid,57.88496108892107,4.532691698947744,False,11,True,4,3,3.5,65.70334139085585
2,11,mid,57.88496108892107,4.532691698947744,False,12,True,2,2,2.0,64.69321696055108
3,10,high,65.94998845602996,2.5517210339660217,False,1,False,4,5,4.5,65.4000869203862
3,10,high,65.94998845602996,2.5517210339660217,False,2,False,2,1,1.5,71.88779831773496
3,10,high,65.94998845602996,2.5517210339660217,False,3,False,1,2,1.5,70.25590132143225
3,10,high,65.94998845602996,2.5517210339660217,False,5,False,4,3,3.5,68.02550931466402
3,10,high,65.94998845602996,2.5517210339660217,False,6,False,2,1,1.5,61.63468077510444
3,10,high,65.94998845602996,2.5517210339660217,False,7,True,5,3,4.0,76.7339187004689
3,10,high,65.94998845602996,2.5517210339660217,False,9,True,3,4,3.5,71.42076609376218
3,10,high,65.94998845602996,2.5517210339660217,False,10,True,2,1,1.5,70.03688021040485
3,10,high,65.94998845602996,2.5517210339660217,False,12,True,0,0,0.0,67.28603724814364
4,9,low,63.61905532325979,2.6127738509947744,True,2,False,4,5,4.5,59.519659611685626
4,9,low,63.61905532325979,2.6127738509947744,True,3,False,4,4,4.0,59.086938896120934
4,9,low,63.61905532325979,2.6127738509947744,True,4,False,4,2,3.0,64.39309386806912
4,9,low,63.61905532325979,2.6127738509947744,True,5,False,3,3,3.0,64.25006425795479
4,9,low,63.61905532325979,2.6127738509947744,True,6,False,1,2,1.5,63.65297063562492
4,9,low,63.61905532325979,2.6127738509947744,True,7,True,1,3,2.0,59.9644474698233
4,9,low,63.61905532325979,2.6127738509947744,True,8,True,3,2,2.5,68.28516050094494
4,9,low,63.61905532325979,2.6127738509947744,True,9,True,2,1,1.5,62.861741208077525
4,9,low,63.61905532325979,2.6127738509947744,True,10,True,2,3,2.5,65.67949501575507
4,9,low,63.61905532325979,2.6127738509947744,True,12,True,3,3,3.0,71.0345736168192
5,9,mid,60.14022316580752,4.169251474385921,True,1,False,6,4,5.0,62.06842073825858
5,9,mid,60.14022316580752,4.169251474385921,True,2,False,4,2,3.0,57.83083953020047
5,9,mid,60.14022316580752,4.169251474385921,True,3,False,6,4,5.0,63.305605612214904
5,9,mid,60.14022316580752,4.169251474385921,True,4,False,4,3,3.5,68.89326900908266
5,9,mid,60.14022316580752,4.169251474385921,True,5,False,5,4,4.5,54.140277212943786
5,9,mid,60.14022316580752,4.169251474385921,True,6,False,3,1,2.0,59.60399320400828
5,9,mid,60.14022316580752,4.169251474385921,True,8,True,2,1,1.5,63.27425760106783
5,9,mid,60.14022316580752,4.169251474385921,True,9,True,1,2,1.5,61.568647235691316
5,9,mid,60.14022316580752,4.169251474385921,True,10,True,7,4,5.5,66.3053485455637
5,9,mid,60.14022316580752,4.169251474385921,True,11,True,6,3,4.5,59.31837508682223
5,9,mid,60.14022316580752,4.169251474385921,True,12,True,4,2,3.0,63.07794395017065
6,12,low,70.35441729706328,1.9751409904317476,False,1,False,3,1,2.0,65.05616086403676
6,12,low,70.35441729706328,1.9751409904317476,False,2,False,4,3,3.5,66.30779473288965
6,12,low,70.35441729706328,1.9751409904317476,False,3,False,3,1,2.0,69.34596486764492
6,12,low,70.35441729706328,1.9751409904317476,False,4,False,1,1,1.0,68.94328523404911
6,12,low,70.35441729706328,1.9751409904317476,False,5,False,1,0,0.5,76.43632518292105
6,12,low,70.35441729706328,1.9751409904317476,False,6,False,2,3,2.5,68.41280595309351
6,12,low,70.35441729706328,1.9751409904317476,False,7,True,0,0,0.0,65.83301797284173
6,12,low,70.35441729706328,1.9751409904317476,False,8,True,0,0,0.0,78.77190157031058
6,12,low,70.35441729706328,1.9751409904317476,False,9,True,4,1,2.5,66.12988863148816
6,12,low,70.35441729706328,1.9751409904317476,False,10,True,0,0,0.0,72.90352187367102
6,12,low,70.35441729706328,1.9751409904317476,False,11,True,0,0,0.0,72.33256712697577
6,12,low,70.35441729706328,1.9751409904317476,False,12,True,1,1,1.0,69.89720439401778
7,6,mid,44.319708526939344,4.76174133027498,True,1,False,4,4,4.0,55.5752203226413
7,6,mid,44.319708526939344,4.76174133027498,True,2,False,2,3,2.5,48.80331815798987
7,6,mid,44.319708526939344,4.76174133027498,True,3,False,5,4,4.5,46.39438526749047
7,6,mid,44.319708526939344,4.76174133027498,True,4,False,7,4,5.5,50.39388550398032
7,6,mid,44.319708526939344,4.76174133027498,True,5,False,4,2,3.0,52.30254819490733
7,6,mid,44.319708526939344,4.76174133027498,True,6,False,4,1,2.5,50.9393284678315
7,6,mid,44.319708526939344,4.76174133027498,True,7,True,5,3,4.0,44.912401454572645
7,6,mid,44.319708526939344,4.76174133027498,True,8,True,5,2,3.5,49.93258073011763
7,6,mid,44.319708526939344,4.76174133027498,True,9,True,7,4,5.5,53.96823859833028
7,6,mid,44.319708526939344,4.76174133027498,True,10,True,5,2,3.5,54.74700430461185
7,6,mid,44.319708526939344,4.76174133027498,True,11,True,5,4,4.5,49.64149959920238
7,6,mid,44.319708526939344,4.76174133027498,True,12,True,2,2,2.0,50.41107644053104
8,10,low,66.84511518081302,2.920054818549488,True,1,False,2,0,1.0,68.56313472411209
8,10,low,66.84511518081302,2.920054818549488,True,2,False,2,1,1.5,75.79822236733301
8,10,low,66.84511518081302,2.920054818549488,True,3,False,3,1,2.0,66.09521175293298
8,10,low,66.84511518081302,2.920054818549488,True,5,False,5,4,4.5,63.40870479498429
8,10,low,66.84511518081302,2.920054818549488,True,6,False,2,2,2.0,69.34619622666798
8,10,low,66.84511518081302,2.920054818549488,True,7,True,1,2,1.5,70.97738707951234
8,10,low,66.84511518081302,2.920054818549488,True,9,True,6,3,4.5,69.53177533158164
8,10,low,66.84511518081302,2.920054818549488,True,10,True,3,3,3.0,71.33510318568541
8,10,low,66.84511518081302,2.920054818549488,True,11,True,1,2,1.5,71.5181301390293
8,10,low,66.84511518081302,2.920054818549488,True,12,True,3,2,2.5,66.3499921239672
9,7,low,69.09710024650025,4.05646938634237,False,1,False,5,4,4.5,66.76844079084563
9,7,low,69.09710024650025,4.05646938634237,False,2,False,4,3,3.5,71.43130636792439
9,7,low,69.09710024650025,4.05646938634237,False,3,False,4,3,3.5,66.61578303078244
9,7,low,69.09710024650025,4.05646938634237,False,4,False,6,4,5.0,76.11270393469826
9,7,low,69.09710024650025,4.05646938634237,False,5,False,2,1,1.5,65.28262329980929
9,7,low,69.09710024650025,4.05646938634237,False,6,False,2,1,1.5,68.44245269980244
9,7,low,69.09710024650025,4.05646938634237,False,7,True,2,1,1.5,75.6165571796668
9,7,low,69.09710024650025,4.05646938634237,False,8,True,7,4,5.5,74.68751016893145
9,7,low,69.09710024650025,4.05646938634237,False,9,True,4,1,2.5,71.85794052280815
9,7,low,69.09710024650025,4.05646938634237,False,10,True,2,3,2.5,73.04779232623493
9,7,low,69.09710024650025,4.05646938634237,False,11,True,5,0,2.5,71.16169079877768
9,7,low,69.09710024650025,4.05646938634237,False,12,True,4,4,4.0,76.93920491531912
10,6,mid,56.40723453593987,4.100579868741339,True,1,False,4,3,3.5,52.996209675338896
10,6,mid,56.40723453593987,4.100579868741339,True,3,False,1,2,1.5,62.42669569305858
10,6,mid,56.40723453593987,4.100579868741339,True,4,False,3,2,2.5,56.747540836468836
10,6,mid,56.40723453593987,4.100579868741339,True,5,False,5,3,4.0,62.262546821990924
10,6,mid,56.40723453593987,4.100579868741339,True,6,False,5,2,3.5,58.16082710245425
10,6,mid,56.40723453593987,4.100579868741339,True,7,True,4,1,2.5,54.99911782796169
10,6,mid,56.40723453593987,4.100579868741339,True,8,True,5,1,3.0,67.9417465548685
10,6,mid,56.40723453593987,4.100579868741339,True,9,True,6,5,5.5,54.264822261919186
10,6,mid,56.40723453593987,4.100579868741339,True,10,True,6,5,5.5,55.75481746729443
10,6,mid,56.40723453593987,4.100579868741339,True,11,True,0,1,0.5,63.342110791802874
10,6,mid,56.40723453593987,4.100579868741339,True,12,True,7,5,6.0,61.42613528591459
11,9,low,85.13218721449384,3.350355820327449,False,1,False,3,1,2.0,88.80932995539925
11,9,low,85.13218721449384,3.350355820327449,False,2,False,1,3,2.0,85.4330686503297
11,9,low,85.13218721449384,3.350355820327449,False,3,False,1,1,1.0,81.84900473742925
11,9,low,85.13218721449384,3.350355820327449,False,4,False,5,5,5.0,81.31424935866949
11,9,low,85.13218721449384,3.350355820327449,False,6,False,2,1,1.5,83.59774933418551
11,9,low,85.13218721449384,3.350355820327449,False,7,True,0,0,0.0,88.40975716825757
11,9,low,85.13218721449384,3.350355820327449,False,8,True,3,2,2.5,88.74978155479889
11,9,low,85.13218721449384,3.350355820327449,False,9,True,2,2,2.0,86.0889366133531
11,9,low,85.13218721449384,3.350355820327449,False,10,True,3,2,2.5,81.87875988306948
11,9,low,85.13218721449384,3.350355820327449,False,11,True,3,3,3.0,81.61076780748682
11,9,low,85.13218721449384,3.350355820327449,False,12,True,1,1,1.0,86.22534114484621
12,12,low,64.05541625202684,2.602096213193978,True,1,False,4,5,4.5,61.07545857606672
12,12,low,64.05541625202684,2.602096213193978,True,2,False,2,2,2.0,58.74523551271775
12,12,low,64.05541625202684,2.602096213193978,True,3,False,1,0,0.5,70.3120012655308
12,12,low,64.05541625202684,2.602096213193978,True,4,False,2,2,2.0,67.46383696798148
12,12,low,64.05541625202684,2.602096213193978,True,5,False,0,1,0.5,68.58102176722325
12,12,low,64.05541625202684,2.602096213193978,True,6,False,1,1,1.0,64.90932269156889
12,12,low,64.05541625202684,2.602096213193978,True,7,True,2,2,2.0,70.9354218268629
12,12,low,64.05541625202684,2.602096213193978,True,8,True,2,0,1.0,71.24783496077163
12,12,low,64.05541625202684,2.602096213193978,True,9,True,2,3,2.5,66.13163163969519
12,12,low,64.05541625202684,2.602096213193978,True,10,True,2,1,1.5,65.83885845453446
12,12,low,64.05541625202684,2.602096213193978,True,11,True,1,2,1.5,69.94386153494652
12,12,low,64.05541625202684,2.602096213193978,True,12,True,3,2,2.5,70.74536474700251
13,11,high,67.62515757535164,3.7095385895528366,False,1,False,5,3,4.0,67.66152782178234
13,11,high,67.62515757535164,3.7095385895528366,False,2,False,6,3,4.5,74.44830720361051
13,11,high,67.62515757535164,3.7095385895528366,False,3,False,2,1,1.5,70.23163513150884
13,11,high,67.62515757535164,3.7095385895528366,False,4,False,3,1,2.0,68.42329347286311
13,11,high,67.62515757535164,3.7095385895528366,False,5,False,7,5,6.0,77.95383517979194
13,11,high,67.62515757535164,3.7095385895528366,False,6,False,2,1,1.5,61.27337098600009
13,11,high,67.62515757535164,3.7095385895528366,False,7,True,3,4,3.5,76.75083202796475
13,11,high,67.62515757535164,3.7095385895528366,False,8,True,5,4,4.5,72.86119610189682
13,11,high,67.62515757535164,3.7095385895528366,False,9,True,3,2,2.5,73.78029759564863
13,11,high,67.62515757535164,3.7095385895528366,False,10,True,5,4,4.5,78.18717482802103
13,11,high,67.62515757535164,3.7095385895528366,False,11,True,3,2,2.5,75.82493180209781
13,11,high,67.62515757535164,3.7095385895528366,False,12,True,3,3,3.0,78.07492455480681
14,11,low,64.07780836085297,3.794240414707435,True,1,False,3,4,3.5,59.03013778681885
14,11,low,64.07780836085297,3.794240414707435,True,2,False,4,3,3.5,62.52709115425071
14,11,low,64.07780836085297,3.794240414707435,True,3,False,1,0,0.5,69.73107928817224
14,11,low,64.07780836085297,3.794240414707435,True,4,False,5,4,4.5,61.61633962034118
14,11,low,64.07780836085297,3.794240414707435,True,5,False,3,2,2.5,64.87624288449437
14,11,low,64.07780836085297,3.794240414707435,True,6,False,2,2,2.0,69.32044791954475
14,11,low,64.07780836085297,3.794240414707435,True,7,True,7,5,6.0,64.12732847395948
14,11,low,64.07780836085297,3.794240414707435,True,8,True,5,5,5.0,60.05926173200964
14,11,low,64.07780836085297,3.794240414707435,True,9,True,4,4,4.0,74.19207814258576
14,11,low,64.07780836085297,3.794240414707435,True,10,True,2,2,2.0,67.19337240661203
14,11,low,64.07780836085297,3.794240414707435,True,11,True,2,1,1.5,72.11362038350751
14,11,low,64.07780836085297,3.794240414707435,True,12,True,6,2,4.0,69.73398033154244
15,11,mid,69.18433879569415,2.4972619319530254,False,1,False,3,1,2.0,71.10986079224652
15,11,mid,69.18433879569415,2.4972619319530254,False,2,False,4,3,3.5,59.369765432984536
15,11,mid,69.18433879569415,2.4972619319530254,False,3,False,4,3,3.5,72.77478619503174
15,11,mid,69.18433879569415,2.4972619319530254,False,4,False,2,1,1.5,67.87542804230031
15,11,mid,69.18433879569415,2.4972619319530254,False,6,False,0,0,0.0,67.91996643460506
15,11,mid,69.18433879569415,2.4972619319530254,False,7,True,3,4,3.5,72.51653666527702
15,11,mid,69.18433879569415,2.4972619319530254,False,8,True,2,2,2.0,67.28228547065012
15,11,mid,69.18433879569415,2.4972619319530254,False,9,True,4,3,3.5,72.64022185801048
15,11,mid,69.18433879569415,2.4972619319530254,False,10,True,5,2,3.5,71.94180571395981
15,11,mid,69.18433879569415,2.4972619319530254,False,11,True,2,1,1.5,73.94507120159948
15,11,mid,69.18433879569415,2.4972619319530254,False,12,True,5,5,5.0,67.7541290845368
16,11,mid,83.0814409350605,2.558370229970106,True,1,False,2,0,1.0,77.23084501008171
16,11,mid,83.0814409350605,2.558370229970106,True,2,False,5,5,5.0,85.55029447025632
16,11,mid,83.0814409350605,2.558370229970106,True,3,False,3,3,3.0,77.48533805344005
16,11,mid,83.0814409350605,2.558370229970106,True,4,False,2,0,1.0,84.83035230080995
16,11,mid,83.0814409350605,2.558370229970106,True,5,False,6,3,4.5,81.55811776065256
16,11,mid,83.0814409350605,2.558370229970106,True,6,False,0,0,0.0,84.50260886386235
16,11,mid,83.0814409350605,2.558370229970106,True,7,True,0,0,0.0,88.49897784403046
16,11,mid,83.0814409350605,2.558370229970106,True,8,True,2,1,1.5,83.4408462783616
16,11,mid,83.0814409350605,2.558370229970106,True,9,True,2,3,2.5,84.53474964728923
16,11,mid,83.0814409350605,2.558370229970106,True,10,True,1,1,1.0,84.44349445183818
16,11,mid,83.0814409350605,2.558370229970106,True,11,True,1,0,0.5,83.82835843315499
16,11,mid,83.0814409350605,2.558370229970106,True,12,True,3,2,2.5,75.2158337296262
17,9,low,94.73015803923475,5.1788058825383185,True,1,False,4,3,3.5,87.71262256592298
17,9,low,94.73015803923475,5.1788058825383185,True,2,False,2,2,2.0,95.34917860769633
